p_bin,n,mean_p,realised,avg_ask,pnl_cents,calibration_gap
"(0.05, 0.1]",8,0.08627659257910249,0.0,0.058750000000000004,-47.0,-0.08627659257910249
"(0.1, 0.2]",30,0.1432269528580695,0.1,0.073,81.0,-0.04322695285806949
"(0.2, 0.4]",13,0.3018117690733311,0.15384615384615385,0.1,70.0,-0.14796561522717727
"(0.4, 0.6]",1,0.4735608798180196,0.0,0.16,-16.0,-0.4735608798180196
"(0.6, 0.8]",3,0.7131733417228938,1.0,0.05333333333333334,284.0,0.2868266582771062
"(0.8, 1.01]",2,0.9597772602478931,0.5,0.44999999999999996,10.0,-0.4597772602478931
