_month,pnl_cents
2024-09,-38.0
2024-11,43.0
2024-12,-63.0
2025-01,-17.0
2025-02,158.0
2025-03,-23.0
2025-04,-27.0
2025-05,78.0
2025-06,-33.0
2025-07,-95.0
2025-08,-12.0
2025-10,-5.0
2025-11,89.0
2025-12,-17.0
2026-01,-18.0
2026-03,80.0
2026-04,282.0
