_month,pnl_cents
2024-09,-59.0
2024-10,-13.0
2024-11,63.0
2024-12,-46.0
2025-01,-17.0
2025-02,163.0
2025-03,-44.0
2025-04,-12.0
2025-05,73.0
2025-06,-33.0
2025-08,-5.0
2025-11,93.0
2025-12,-10.0
2026-01,-20.0
2026-03,80.0
2026-04,282.0
