null_pnl_cents,null_roi_pct
257.0,39.968895800933126
-224.0,-42.74809160305343
-275.0,-57.89473684210527
-32.0,-7.4074074074074066
-243.0,-44.751381215469614
70.0,16.27906976744186
33.0,7.066381156316917
-172.0,-36.440677966101696
61.0,13.895216400911162
-143.0,-22.23950233281493
-5.0,-0.8264462809917356
-357.0,-64.09335727109516
14.0,2.0408163265306123
-289.0,-59.100204498977504
-166.0,-45.3551912568306
-41.0,-7.578558225508318
-107.0,-17.627677100494235
-46.0,-8.424908424908425
-350.0,-77.77777777777779
-202.0,-28.774928774928775
54.0,8.359133126934983
-188.0,-48.45360824742268
-73.0,-15.433403805496829
191.0,26.939351198871652
-202.0,-28.774928774928775
-31.0,-4.91283676703645
160.0,21.62162162162162
3.0,0.5025125628140703
-28.0,-3.8461538461538463
20.0,3.4482758620689653
108.0,13.636363636363635
-122.0,-23.371647509578544
-50.00000000000001,-9.090909090909092
-43.0,-7.918968692449356
-175.0,-25.925925925925924
-188.0,-38.52459016393443
74.0,11.821086261980831
-345.0,-63.30275229357798
-208.0,-50.98039215686274
-189.0,-23.954372623574145
221.0,58.31134564643799
75.0,10.344827586206897
-182.0,-47.64397905759162
-58.0,-16.201117318435752
-106.0,-17.491749174917494
-172.0,-36.440677966101696
-216.0,-35.064935064935064
-157.0,-34.35448577680525
-112.0,-18.30065359477124
-124.0,-23.66412213740458
-48.0,-7.4074074074074066
36.0,7.758620689655173
84.0,16.27906976744186
59.0,10.905730129390019
-93.0,-18.864097363083165
-4.0,-0.6622516556291391
-12.0,-1.6853932584269662
-8.0,-1.574803149606299
-129.0,-20.5087440381558
54.999999999999986,8.527131782945734
19.0,2.7900146842878124
92.0,18.11023622047244
129.0,22.59194395796848
-332.0,-76.85185185185185
-192.0,-39.02439024390244
-24.0,-3.8461538461538463
-83.0,-17.184265010351968
191.0,31.362889983579638
229.0,40.10507880910683
6.0,1.214574898785425
-65.0,-11.504424778761061
-165.0,-29.20353982300885
-88.0,-22.68041237113402
8.0,1.6260162601626018
43.0,7.719928186714542
-166.0,-29.328621908127207
123.0,14.02508551881414
19.0,3.2702237521514634
-140.0,-21.875
329.0,42.67185473411154
115.0,23.711340206185564
-95.0,-13.66906474820144
-328.0,-62.121212121212125
-39.0,-5.2774018944519625
55.0,15.942028985507244
-291.0,-49.23857868020304
41.0,6.22154779969651
93.99999999999999,15.51155115511551
-168.0,-29.577464788732392
-93.0,-18.864097363083165
-228.0,-43.18181818181818
-68.0,-11.971830985915492
-12.0,-1.9607843137254901
-248.0,-55.35714285714286
160.0,29.629629629629626
-210.0,-29.577464788732392
56.0,10.294117647058822
294.0,72.41379310344827
27.0,4.011887072808321
-216.0,-35.064935064935064
-191.0,-38.90020366598778
-113.0,-27.36077481840194
273.0,43.54066985645933
-212.0,-41.40625
32.0,3.686635944700461
-53.0,-15.01416430594901
58.0,13.122171945701359
73.0,13.851992409867172
-74.0,-12.89198606271777
-240.0,-44.44444444444444
-44.0,-6.832298136645963
-431.0,-81.16760828625236
-61.0,-16.897506925207757
76.0,17.92452830188679
-1.0,-0.19960079840319359
-223.0,-35.79454253611557
-57.0,-12.472647702407002
-313.0,-51.060358890701465
-201.0,-50.12468827930174
50.0,9.090909090909092
-38.0,-8.67579908675799
-19.0,-3.6608863198458574
23.0,2.9601029601029603
-355.0,-54.19847328244275
-311.0,-75.669099756691
-133.0,-24.953095684803
-303.0,-50.24875621890548
-230.0,-53.48837209302325
49.0,10.864745011086473
52.0,9.48905109489051
-173.0,-36.57505285412262
-194.0,-39.27125506072874
-85.0,-17.525773195876287
-70.0,-25.925925925925924
-219.0,-42.19653179190752
43.0,7.719928186714542
35.0,6.1946902654867255
-84.0,-17.355371900826448
24.0,5.042016806722689
44.0,6.707317073170732
-168.0,-35.8974358974359
-9.0,-1.768172888015717
-14.0,-2.7237354085603114
51.0,11.358574610244988
-59.0,-6.868451688009314
-100.0,-25.0
-12.0,-2.34375
54.0,12.10762331838565
-416.0,-67.53246753246754
-160.0,-21.052631578947366
56.0,12.612612612612612
-36.0,-4.891304347826087
32.0,4.790419161676647
-205.0,-40.5940594059406
-183.0,-37.88819875776397
40.0,11.11111111111111
-72.0,-12.587412587412588
-123.0,-19.743178170144464
-91.0,-18.533604887983707
180.0,25.0
28.0,5.932203389830509
-119.0,-28.400954653937948
-11.0,-3.536977491961415
-36.0,-5.660377358490567
28.0,4.895104895104895
-89.0,-18.200408997955012
-81.0,-13.941480206540447
-102.0,-12.718204488778055
-309.0,-43.58251057827927
-146.0,-26.73992673992674
-38.0,-4.534606205250596
86.0,14.006514657980457
-310.0,-50.81967213114754
46.0,10.13215859030837
-96.0,-24.242424242424242
47.0,8.499095840867993
-151.0,-33.48115299334812
-155.0,-34.065934065934066
-189.0,-27.431059506531202
151.0,23.26656394453005
16.0,2.73972602739726
-345.0,-77.52808988764045
-267.0,-47.08994708994709
-179.0,-30.915371329879104
255.0,46.788990825688074
-282.0,-58.50622406639005
38.0,6.761565836298933
47.999999999999986,8.695652173913041
-162.0,-28.825622775800714
146.0,32.158590308370044
118.0,24.481327800829874
-23.0,-5.4373522458628845
-165.0,-35.483870967741936
-79.0,-13.644214162348877
-31.0,-5.83804143126177
-181.0,-31.153184165232357
-365.0,-64.60176991150442
-286.0,-58.8477366255144
-57.0,-12.472647702407002
-118.0,-22.779922779922778
