p_bin,n,mean_p,realised,avg_ask,pnl,gap
"(0.05, 0.1]",3,0.09286182955818607,0.0,0.05666666666666667,-17.0,-0.09286182955818607
"(0.1, 0.2]",29,0.14192609776978765,0.06896551724137931,0.07275862068965516,-11.0,-0.07296058052840834
"(0.2, 0.4]",11,0.2542271463903475,0.2727272727272727,0.10909090909090909,180.0,0.018500126336925216
"(0.4, 0.6]",3,0.5156316188561719,0.6666666666666666,0.10333333333333333,169.0,0.1510350478104947
"(0.8, 1.01]",2,0.956469553527787,1.0,0.13,174.0,0.04353044647221305
