as_of,snapshot_date,snapshot_h,ticker,direction,strike_f,yes_ask,p_model,ev_cents,observed_high_f,yes_won,pnl_cents,cost_cents,micro_volume_6h,in_mode_a,in_mode_b,in_mode_a_c,in_mode_b_c
2025-05-27T19:00:00Z,2025-05-27,14,KXHIGHCHI-25MAY27-T70,greater,70.0,0.16,0.383960805185027,22.3960805185027,69.0,False,-16.0,16.0,8115.0,0,1,0,1
2025-06-17T17:00:00Z,2025-06-17,12,KXHIGHCHI-25JUN17-T89,less,89.0,0.07,0.113779771754357,4.3779771754357,92.0,False,-7.000000000000001,7.000000000000001,2513.0,1,0,1,0
2025-06-17T17:00:00Z,2025-06-17,12,KXHIGHCHI-25JUN17-T89,less,89.0,0.07,0.1117560567874825,4.175605678748255,92.0,False,-7.000000000000001,7.000000000000001,2513.0,0,1,0,1
2025-06-18T17:00:00Z,2025-06-18,12,KXHIGHCHI-25JUN18-T85,greater,85.0,0.06,0.1055195566409929,4.551955664099299,81.0,False,-6.0,6.0,1782.0,1,0,1,0
2025-06-18T17:00:00Z,2025-06-18,12,KXHIGHCHI-25JUN18-T85,greater,85.0,0.06,0.1114865203154969,5.148652031549693,81.0,False,-6.0,6.0,1782.0,0,1,0,1
2025-06-20T17:00:00Z,2025-06-20,12,KXHIGHCHI-25JUN20-T82,less,82.0,0.05,0.1583688160190451,10.836881601904516,86.0,False,-5.0,5.0,4347.0,1,0,1,0
2025-06-20T17:00:00Z,2025-06-20,12,KXHIGHCHI-25JUN20-T82,less,82.0,0.05,0.1604011072686596,11.040110726865962,86.0,False,-5.0,5.0,4347.0,0,1,0,1
2025-06-26T17:00:00Z,2025-06-26,12,KXHIGHCHI-25JUN26-T97,greater,97.0,0.05,0.1062619299148802,5.626192991488027,94.0,False,-5.0,5.0,812.0,1,0,0,0
2025-06-26T17:00:00Z,2025-06-26,12,KXHIGHCHI-25JUN26-T97,greater,97.0,0.05,0.1076621391641099,5.766213916410995,94.0,False,-5.0,5.0,812.0,0,1,0,0
2025-06-30T17:00:00Z,2025-06-30,12,KXHIGHCHI-25JUN30-T91,greater,91.0,0.1,0.2187174440255156,11.871744402551569,90.0,False,-10.0,10.0,971.0,1,0,0,0
2025-06-30T17:00:00Z,2025-06-30,12,KXHIGHCHI-25JUN30-T91,greater,91.0,0.1,0.2271882176699794,12.71882176699794,90.0,False,-10.0,10.0,971.0,0,1,0,0
2025-08-16T17:00:00Z,2025-08-16,12,KXHIGHCHI-25AUG16-T98,greater,98.0,0.05,0.2055061926893973,15.550619268939736,95.0,False,-5.0,5.0,2497.0,1,0,1,0
2025-08-16T17:00:00Z,2025-08-16,12,KXHIGHCHI-25AUG16-T98,greater,98.0,0.05,0.2135207067553963,16.352070675539636,95.0,False,-5.0,5.0,2497.0,0,1,0,1
2025-11-15T20:00:00Z,2025-11-15,14,KXHIGHCHI-25NOV15-T71,greater,71.0,0.07,0.2777805580703079,20.77805580703079,71.0,True,93.0,7.000000000000001,7052.0,1,0,1,0
2025-11-15T20:00:00Z,2025-11-15,14,KXHIGHCHI-25NOV15-T71,greater,71.0,0.07,0.2853393918087734,21.533939180877336,71.0,True,93.0,7.000000000000001,7052.0,0,1,0,1
2025-12-11T18:00:00Z,2025-12-11,12,KXHIGHCHI-25DEC11-T29,greater,29.0,0.05,0.1180814010133513,6.808140101335139,27.0,False,-5.0,5.0,11439.0,1,0,1,0
2025-12-11T18:00:00Z,2025-12-11,12,KXHIGHCHI-25DEC11-T29,greater,29.0,0.05,0.1161263668287531,6.612636682875314,27.0,False,-5.0,5.0,11439.0,0,1,0,1
2025-12-31T18:00:00Z,2025-12-31,12,KXHIGHCHI-25DEC31-T37,greater,37.0,0.05,0.1125947096509228,6.259470965092283,35.0,False,-5.0,5.0,3829.0,1,0,1,0
2025-12-31T18:00:00Z,2025-12-31,12,KXHIGHCHI-25DEC31-T37,greater,37.0,0.05,0.1208792414001704,7.087924140017049,35.0,False,-5.0,5.0,3829.0,0,1,0,1
