p_bin,n,mean_p,realised,avg_ask,pnl_cents,calibration_gap
"(0.05, 0.1]",16,0.0867707671744557,0.0,0.0625,-100.0,-0.0867707671744557
"(0.1, 0.2]",64,0.14214748358813808,0.078125,0.07703125,7.0,-0.06402248358813808
"(0.2, 0.4]",17,0.2639319515931344,0.11764705882352941,0.11117647058823531,11.0,-0.14628489276960496
"(0.6, 0.8]",2,0.7335262280911097,1.0,0.05,190.0,0.2664737719088903
"(0.8, 1.01]",2,0.9597772602478931,0.5,0.44999999999999996,10.0,-0.4597772602478931
