null_pnl_cents,null_roi
-197.0,-0.17958067456700091
-182.0,-0.16820702402957485
-192.0,-0.21524663677130046
-51.0,-0.0407673860911271
-113.0,-0.09315746084089035
-158.0,-0.13644214162348878
20.0,0.018518518518518517
65.0,0.05726872246696035
-250.0,-0.21739130434782608
-110.0,-0.0990990990990991
-308.0,-0.2779783393501805
-33.0,-0.0267639902676399
-61.0,-0.05254091300602928
-264.0,-0.2268041237113402
-105.0,-0.09502262443438914
-261.0,-0.24599434495758718
-325.0,-0.28888888888888886
-387.0,-0.32603201347935973
-204.0,-0.16943521594684385
-190.0,-0.1743119266055046
-134.0,-0.12959381044487428
-195.0,-0.19597989949748743
17.0,0.01569713758079409
-380.0,-0.35185185185185186
-168.0,-0.13249211356466878
-83.00000000000001,-0.07663896583564175
-309.0,-0.27862939585211904
-314.0,-0.2586490939044481
-169.0,-0.1580916744621141
-331.0,-0.2688870836718115
-167.0,-0.19261822376009227
-305.0,-0.25311203319502074
-264.0,-0.27385892116182575
-58.0,-0.05008635578583765
-132.0,-0.1166077738515901
-430.0,-0.46236559139784944
-138.0,-0.11147011308562198
77.0,0.06856634016028496
-395.0,-0.305019305019305
-89.0,-0.07485281749369217
-191.0,-0.1927346115035318
-68.0,-0.07024793388429752
16.0,0.013513513513513514
-185.0,-0.15611814345991562
-73.0,-0.06803355079217148
-99.0,-0.0990990990990991
-145.0,-0.11646586345381527
-109.00000000000001,-0.08326967150496563
25.0,0.023255813953488372
-466.0,-0.4371482176360225
-195.0,-0.19597989949748743
-238.0,-0.19224555735056542
-229.0,-0.22254616132167152
-200.0,-0.18181818181818182
-118.0,-0.09688013136288999
-185.0,-0.15611814345991562
-263.0,-0.24741298212605833
-251.0,-0.23882017126546146
-161.0,-0.15174363807728558
85.0,0.09289617486338798
-166.0,-0.1423670668953688
-284.0,-0.26199261992619927
-217.0,-0.19427036705461057
-373.0,-0.29300864100549884
-309.0,-0.27862939585211904
-289.0,-0.2430613961312027
162.0,0.1308562197092084
-189.0,-0.15895710681244743
-36.0,-0.03474903474903475
-214.0,-0.19210053859964094
