_month,pnl_cents
2024-09,-94.0
2024-11,28.0
2024-12,-69.0
2025-01,-17.0
2025-02,133.0
2025-03,-40.0
2025-04,-70.0
2025-05,154.0
2025-06,-52.0
2025-07,-91.0
2025-08,-49.0
2025-09,-74.0
2025-10,-42.0
2025-11,89.0
2025-12,-17.0
2026-01,-18.0
2026-03,68.0
2026-04,279.0
